name,value
hnlbot,887
nightbot,845
sheepfarmer,728
moobot,615
iitz_phoenix,577
dong803323,376
greyrl,366
sobored12345,345
dotastarscom,305
druieno,304
twitchnotify,286
thoulin89,275
victoriate,274
ya_boi_daddy,274
xanbot,255
imakajenks,247
helppluk000,240
voyscout,235
gamermasonynot,230
teamsolokappa,222
proximy,218
artiiz,218
ceaweed,215
molereaver,213
meowychloe,212
townies,208
yacrawdad,208
sccotty,205
edgarfires,205
cowiskings,204
reder_tv,203
minami91,203
ilidankarpakarps,190
cup_of_potato,189
superiorsaint,188
charmiee,188
phantomthief_,187
9kmmrbot,186
spaceaidz_,175
saknom,174
kleipd,169
rokc426,165
spiderruin5,161
germaniumplasm,161
javierestrada99,161
dumboodaking,159
razorrpg,156
tjollerboi,155
leerawkt89,155
zanroth,152
dragonknight3344,150
xelimir,149
vaultdragonx,148
rylane,146
helgrind9,144
pandibali,133
joaodoida0,132
ossim_possim_,130
nicyiadj,130
honestabek,128
rssaffi,128
thatmemegrill,127
salaprita2,124
hehe_xxd,122
zynarch,120
gassymexican,119
scottysace,119
loryhoof,118
i_amthechamp,118
matmanneto,117
chosen_god,117
horizons7,116
ceofetas,115
flamindude99,115
nixxonwtfu,115
nikeee3n,115
chaosawakens,115
doubledgedboard,113
khaaalllon,113
hahaahahaahahaahahaahahaa,111
horsten94,111
kimtaeyeon33,111
kirisaite,108
omgscootsrip,108
cikendaaaak,107
skeweddopa,107
alicatm,106
whippedboyjseng,106
ultimaflarestar,106
moltemon,106
blueversion2yt,105
cuda,104
teanean,103
tehfluffehcake,103
i_have_10_accounts,103
dlg_syrup,103
amplifyed,103
lambdatheultimate,102
deeznutsna,102
ivaninguza,102
dankychan,102
smashbizzle19,102
mojanga,101
choasenigma11,101
acepeek,101
trybefore,100
skazzie,100
ctrlsoul,100
ikuuhaku,99
meowsiclez,98
lulzy_,98
tszkit911,98
rfarleydude97,97
fhedo505,97
an_unemployed_trihard,97
syphex97,94
randomly_yells,94
mjrq,94
judgejamesc,94
sirbubblehunter,93
kappariven,92
ourv,92
leonelghost,91
taurenhuntersodalmepls,91
winngg,91
twosparky,91
poodistwitch,91
odintw,91
doczoidberghomeowner,90
vincentcrazyyyyyy,90
barbariccaustic,90
j7angarang,89
justabait6,88
kennishi90,88
seahiga,88
goblinz100,88
bludays,88
haisethefox,87
sneakymrsnake,87
suburban_errorist,87
s0urkr0ut,86
greased315,86
goofygoozler12,86
zeoxsys,86
2ez4kael,86
pilotchup,85
blazersurf,85
blacklist_exe,85
xiphyr_x,85
fatalo25,85
snowplex,84
sobayed_sobayed,84
philipecaos2,84
dabears9854,84
leg1tmidget,83
taaylo,83
firedragon1080,83
quin69,83
josueglm,83
